,name,lat1,lat2,lon1,lon2,Number_of_shop,ratingMean,Number_of_rating_Mean,Number_of_busStop,Number_of_Mtr,Number_of_competitor,district,predicted_sales,has_shop,rent,disposal,cost_per_grid
87,006-013,22.309273,22.3333752,114.2211762,114.25294113333334,3,3.6,220.0,136,1,5,Kwon Tong,31.77698449806751,1,2.542158759845401,12.611537753638338,15.15369651348374
88,006-014,22.309273,22.3333752,114.25294113333334,114.28470606666669,0,,,73,2,0,,15.21916852385925,0,1.21753348190874,0.0,1.21753348190874
89,006-015,22.309273,22.3333752,114.28470606666669,114.316471,0,,,1,0,0,,0.2427446564418438,0,0.019419572515347504,0.0,0.019419572515347504
90,007-001,22.3333752,22.3574774,113.839997,113.87176193333332,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
91,007-002,22.3333752,22.3574774,113.87176193333332,113.90352686666668,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
92,007-003,22.3333752,22.3574774,113.90352686666668,113.9352918,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
93,007-004,22.3333752,22.3574774,113.9352918,113.96705673333334,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
94,007-005,22.3333752,22.3574774,113.96705673333334,113.99882166666669,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
95,007-006,22.3333752,22.3574774,113.99882166666669,114.0305866,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
96,007-007,22.3333752,22.3574774,114.0305866,114.06235153333334,0,,,12,0,0,,2.912935877302125,0,0.23303487018417002,0.0,0.23303487018417002
97,007-008,22.3333752,22.3574774,114.06235153333334,114.09411646666666,0,,,1,0,0,,0.2427446564418438,0,0.019419572515347504,0.0,0.019419572515347504
98,007-009,22.3333752,22.3574774,114.09411646666666,114.1258814,6,3.5333333333333337,45.0,57,0,5,Kwai Tsing,13.850752337359523,1,1.1080601869887619,12.611537753638338,13.7195979406271
99,007-010,22.3333752,22.3574774,114.1258814,114.15764633333332,9,3.177777777777778,131.11111111111111,114,7,11,,18.950196171370212,1,1.516015693709617,12.611537753638338,14.127553447347955
100,007-011,22.3333752,22.3574774,114.15764633333332,114.18941126666668,4,3.625,88.25,109,3,3,,22.715964609672607,1,1.8172771687738085,12.611537753638338,14.428814922412146
101,007-012,22.3333752,22.3574774,114.18941126666668,114.2211762,5,3.5200000000000005,102.4,115,3,3,Wong Tai Sin,24.17243254832367,1,1.9337946038658935,12.611537753638338,14.54533235750423
102,007-013,22.3333752,22.3574774,114.2211762,114.25294113333334,0,,,19,0,0,,4.612148472395032,0,0.36897187779160256,0.0,0.36897187779160256
103,007-014,22.3333752,22.3574774,114.25294113333334,114.28470606666669,0,,,9,0,0,,2.184701907976594,0,0.1747761526381275,0.0,0.1747761526381275
104,007-015,22.3333752,22.3574774,114.28470606666669,114.316471,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
105,008-001,22.3574774,22.3815796,113.839997,113.87176193333332,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
106,008-002,22.3574774,22.3815796,113.87176193333332,113.90352686666668,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
107,008-003,22.3574774,22.3815796,113.90352686666668,113.9352918,0,,,4,0,0,,0.9709786257673751,0,0.07767829006139002,0.0,0.07767829006139002
108,008-004,22.3574774,22.3815796,113.9352918,113.96705673333334,0,,,27,0,3,,6.562689876034439,0,0.5250151900827552,0.0,0.5250151900827552
109,008-005,22.3574774,22.3815796,113.96705673333334,113.99882166666669,0,,,29,0,1,,7.042456420848356,0,0.5633965136678685,0.0,0.5633965136678685
